GPSpt,Date,Time,Species,NumIn,NumOut,Total,BreedNotes
41,41990,715,Golden-breasted Bunting,1,,1,
41,41990,715,Southern Masked Weaver,1,,1,
41,41990,715,Rattling Cisticola,2,,2,
41,41990,715,Tawny-flanked Prinia,2,,2,nest material in bill
41,41990,715,Yellow-fronted Canary,2,,2,nest material in bill
41,41990,715,Dark-capped Bulbul,3,,3,
41,41990,715,Black Cuckoo,,1,1,
42,41990,658,Striped Kingfisher,1,,1,singing
42,41990,658,Tawny-flanked Prinia,1,,1,
42,41990,658,Cape Turtle Dove,1,,1,singing
42,41990,658,Kurrichane Thrush,1,,1,set on nest
42,41990,658,Woodland Kingfisher,2,,2,
42,41990,658,Chinspot Batis,2,,2,
42,41990,658,Purple-crested Turaco,,1,1,
42,41990,658,Red-faced Mousebird,,1,1,
43,41990,811,Eastern Nicator,1,,1,
43,41990,811,Emerald-spotted Wood Dove,1,,1,
43,41990,811,Chinspot Batis,1,,1,
43,41990,811,White-bellied Sunbird,1,,1,
43,41990,811,Woodland Kingfisher,1,,1,
43,41990,811,Fork-tailed Drongo,2,,2,
43,41990,811,Dark-capped Bulbul,2,,2,
43,41990,811,Red-chested Cuckoo,,1,1,singing
43,41990,811,Orange-breasted Bushshrike,,1,1,singing
43,41990,811,Black-headed Oriole,,1,1,
44,41990,825,Black Cuckoo,1,,1,
44,41990,825,Green-backed Camaroptera,1,,1,
44,41990,825,White-bellied Sunbird,1,,1,
44,41990,825,Dark-capped Bulbul,1,,1,
44,41990,825,Sombre Greenbul,1,,1,
44,41990,825,Black-headed Oriole,1,,1,
44,41990,825,Red-chested Cuckoo,1,,1,
44,41990,825,White-crested Helmetshrike,1,,1,
44,41990,825,Emerald-spotted Wood Dove,1,,1,
44,41990,825,Tawny-flanked Prinia,1,,1,
44,41990,825,Kurrichane Thrush,1,,1,
44,41990,825,Black-collared Barbet,2,,2,
44,41990,825,African Paradise Flycatcher,2,,2,
44,41990,825,Purple-crested Turaco,,1,1,
44,41990,825,Gorgeous Bushshrike,,2,2,
45,41990,840,Tawny-flanked Prinia,1,,1,singing
45,41990,840,Dark-capped Bulbul,1,,1,
45,41990,840,Eastern Nicator,1,,1,
45,41990,840,Emerald-spotted Wood Dove,,1,1,
45,41990,840,Red-chested Cuckoo,,1,1,singing
45,41990,840,African Paradise Flycatcher,,2,2,
46,41990,856,Emerald-spotted Wood Dove,1,,1,
46,41990,856,Red-eyed Dove,1,,1,
46,41990,856,Black-backed Puffback,1,,1,
46,41990,856,Black Cuckoo,2,,2,singing
46,41990,856,Tawny-flanked Prinia,2,,2,
46,41990,856,Green-backed Camaroptera,2,,2,
46,41990,856,Chinspot Batis,2,,2,
46,41990,856,Gorgeous Bushshrike,,2,2,singing
47,41990,913,White-bellied Sunbird,1,,1,
47,41990,913,Burchell's Coucal,,1,1,
47,41990,913,Emerald-spotted Wood Dove,,2,2,
47,41990,913,Dark-capped Bulbul,,2,2,
47,41990,913,White-crested Helmetshrike,,2,2,
48,41990,930,Orange-breasted Bushshrike,1,,1,
48,41990,930,Woodland Kingfisher,1,,1,
48,41990,930,Black-backed Puffback,1,,1,
48,41990,930,Chinspot Batis,1,,1,
48,41990,930,African Paradise Flycatcher,1,,1,
48,41990,930,Amethyst Sunbird,1,,1,
48,41990,930,Fork-tailed Drongo,1,,1,
48,41990,930,White-crested Helmetshrike,1,,1,
48,41990,930,Green-backed Camaroptera,1,,1,
48,41990,930,Red-eyed Dove,1,,1,singing
48,41990,930,Dark-capped Bulbul,1,,1,
48,41990,930,Black-headed Oriole,2,,2,
48,41990,930,Rattling Cisticola,2,,2,
48,41990,930,Marico Sunbird,3,,3,singing
48,41990,930,Emerald-spotted Wood Dove,,1,1,
49,41990,950,White-bellied Sunbird,1,,1,singing
49,41990,950,Dark-capped Bulbul,1,,1,
49,41990,950,Rattling Cisticola,1,,1,
49,41990,950,Black-headed Oriole,,1,1,
49,41990,950,Orange-breasted Bushshrike,,1,1,
49,41990,950,Green-backed Camaroptera,,1,1,
49,41990,950,Eastern Nicator,,1,1,
50,41990,1004,Eastern Nicator,1,,1,
50,41990,1004,White-bellied Sunbird,1,,1,
50,41990,1004,Green-backed Camaroptera,1,,1,
50,41990,1004,African Paradise Flycatcher,2,,2,
50,41990,1004,Blue Waxbill,2,,2,
50,41990,1004,Dark-capped Bulbul,,2,2,
51,41990,1020,Dark-capped Bulbul,1,,1,
51,41990,1020,Emerald-spotted Wood Dove,1,,1,
51,41990,1020,Black-headed Oriole,1,,1,
51,41990,1020,Rattling Cisticola,1,,1,
51,41990,1020,Eastern Nicator,1,,1,
51,41990,1020,Grey-headed Bushshrike,2,,2,singing
51,41990,1020,White-bellied Sunbird,,1,1,
51,41990,1020,Golden-tailed Woodpecker,,1,1,
52,41991,455,Golden-breasted Bunting,1,,1,
52,41991,455,Dark-capped Bulbul,1,,1,
52,41991,455,Blue Waxbill,1,,1,
52,41991,455,White-bellied Sunbird,1,,1,
52,41991,455,Rattling Cisticola,1,,1,
52,41991,455,Chinspot Batis,1,,1,
52,41991,455,Black Cuckoo,2,,2,
53,41991,510,Dark-capped Bulbul,1,,1,
53,41991,510,Bearded Woodpecker,1,,1,
53,41991,510,Brubru,1,,1,
53,41991,510,Striped Kingfisher,1,,1,
53,41991,510,Southern Black Tit,1,,1,
53,41991,510,Blue Waxbill,1,,1,
53,41991,510,Woodland Kingfisher,1,,1,
53,41991,510,Chinspot Batis,1,,1,
53,41991,510,Yellow-fronted Canary,2,,2,
53,41991,510,Scarlet-chested Sunbird,2,,2,
53,41991,510,Violet-backed Starling,2,,2,
53,41991,510,African Green Pigeon,2,,2,
53,41991,510,Fork-tailed Drongo,4,,4,
53,41991,510,Eastern Nicator,,1,1,
53,41991,510,Black-headed Oriole,,1,1,
53,41991,510,Grey-headed Bushshrike,,1,1,
53,41991,510,Black Cuckoo,,2,2,
54,41991,525,Chinspot Batis,1,,1,
54,41991,525,Yellow-throated Petronia,1,,1,
54,41991,525,Blue Waxbill,1,,1,with nest material in bill
54,41991,525,Rattling Cisticola,1,,1,
54,41991,525,Violet-backed Starling,1,,1,
54,41991,525,Dark-capped Bulbul,2,,2,
54,41991,525,Yellow-fronted Canary,2,,2,
54,41991,525,Green Wood-Hoopoe,2,,2,
54,41991,525,Bearded Woodpecker,,1,1,
54,41991,525,Emerald-spotted Wood Dove,,1,1,
54,41991,525,Eastern Nicator,,1,1,
54,41991,525,Black-headed Oriole,,2,2,
54,41991,525,Fork-tailed Drongo,,2,2,
55,41991,541,Black-headed Oriole,1,,1,
55,41991,541,Eastern Nicator,1,,1,
55,41991,541,Woodland Kingfisher,1,,1,
55,41991,541,Striped Kingfisher,1,,1,
55,41991,541,White-bellied Sunbird,1,,1,
55,41991,541,Rattling Cisticola,1,,1,
55,41991,541,Yellow-fronted Canary,1,,1,
55,41991,541,Dark-capped Bulbul,2,,2,
55,41991,541,African Green Pigeon,2,,2,
55,41991,541,White-crested Helmetshrike,3,,3,
55,41991,541,Emerald-spotted Wood Dove,,1,1,
55,41991,541,Red-chested Cuckoo,,1,1,
55,41991,541,Hadada Ibis,,2,2,
56,41991,601,Burchell's Coucal,1,,1,
56,41991,601,African Paradise Flycatcher,1,,1,
56,41991,601,White-bellied Sunbird,1,,1,
56,41991,601,Golden-tailed Woodpecker,1,,1,
56,41991,601,Red-chested Cuckoo,2,,2,
56,41991,601,Emerald-spotted Wood Dove,,1,1,
56,41991,601,Black-headed Oriole,,1,1,
56,41991,601,Fork-tailed Drongo,,1,1,
56,41991,601,Violet-backed Starling,,1,1,
56,41991,601,Eastern Nicator,,1,1,
56,41991,601,Sombre Greenbul,,2,2,
58,41991,621,Eastern Nicator,1,,1,
58,41991,621,Emerald-spotted Wood Dove,1,,1,
58,41991,621,Fork-tailed Drongo,1,,1,
58,41991,621,Kurrichane Thrush,1,,1,
58,41991,621,Rattling Cisticola,1,,1,
58,41991,621,Green-backed Camaroptera,1,,1,
58,41991,621,Chinspot Batis,1,,1,
58,41991,621,Tawny-flanked Prinia,1,,1,
58,41991,621,Dark-capped Bulbul,2,,2,
58,41991,621,Woodland Kingfisher,3,,3,displaying
58,41991,621,Red-chested Cuckoo,3,,3,
58,41991,621,Purple-crested Turaco,,1,1,
58,41991,621,Southern Boubou,,1,1,
58,41991,621,Grey-headed Bushshrike,,2,2,
58,41991,621,Gorgeous Bushshrike,,2,2,
59,41991,639,Klaas's Cuckoo,1,,1,
59,41991,639,Yellow-fronted Canary,1,,1,
59,41991,639,Dark-capped Bulbul,1,,1,
59,41991,639,Black Cuckooshrike,1,,1,
59,41991,639,Fork-tailed Drongo,1,,1,
59,41991,639,White-bellied Sunbird,1,,1,
59,41991,639,Chinspot Batis,1,,1,
59,41991,639,Woodland Kingfisher,2,,2,displaying
59,41991,639,Rattling Cisticola,2,,2,
59,41991,639,Cape Turtle Dove,,1,1,
59,41991,639,Eastern Nicator,,2,2,
60,41991,654,Rattling Cisticola,1,,1,
60,41991,654,Green Wood-Hoopoe,1,,1,
60,41991,654,Black-backed Puffback,1,,1,
60,41991,654,Spotted Flycatcher,1,,1,
60,41991,654,Chinspot Batis,1,,1,
60,41991,654,Fork-tailed Drongo,1,,1,
60,41991,654,Willow Warbler,1,,1,
60,41991,654,Tawny-flanked Prinia,1,,1,
60,41991,654,Red-billed Quelea,1,,1,
60,41991,654,Gorgeous Bushshrike,2,,2,
60,41991,654,Blue Waxbill,2,,2,
61,41991,710,Yellow-fronted Canary,1,,1,
61,41991,710,Scarlet-chested Sunbird,1,,1,
61,41991,710,Emerald-spotted Wood Dove,1,,1,
61,41991,710,Rattling Cisticola,1,,1,
61,41991,710,Golden-tailed Woodpecker,1,,1,
61,41991,710,Green Wood-Hoopoe,1,,1,
61,41991,710,African Paradise Flycatcher,2,,2,
61,41991,710,Dark-capped Bulbul,2,,2,
61,41991,710,Red-billed Oxpecker,2,,2,
61,41991,710,Yellow-throated Petronia,2,,2,
61,41991,710,Fork-tailed Drongo,2,,2,
61,41991,710,Red-eyed Dove,2,,2,
61,41991,710,Violet-backed Starling,2,,2,
61,41991,710,Cape Turtle Dove,,1,1,
61,41991,710,Orange-breasted Bushshrike,,1,1,
62,41991,1007,Green-backed Camaroptera,1,,1,Displaying
62,41991,1007,Rattling Cisticola,1,,1,
62,41991,1007,Black-backed Puffback,1,,1,
62,41991,1007,Crowned Hornbill,1,,1,
62,41991,1007,White-bellied Sunbird,2,,2,
62,41991,1007,Scarlet-chested Sunbird,2,,2,
62,41991,1007,Sombre Greenbul,,1,1,
63,41991,1034,Rattling Cisticola,1,,1,
63,41991,1034,Emerald-spotted Wood Dove,2,,2,
63,41991,1034,Eastern Nicator,,1,1,
63,41991,1034,Black-headed Oriole,,1,1,
63,41991,1034,Scarlet-chested Sunbird,,1,1,
63,41991,1034,Sombre Greenbul,,1,1,
64,41991,859,Black-backed Puffback,1,,1,
64,41991,859,Eastern Nicator,1,,1,
64,41991,859,White-bellied Sunbird,1,,1,
64,41991,859,Rattling Cisticola,1,,1,
64,41991,859,Green-backed Camaroptera,1,,1,
64,41991,859,Sombre Greenbul,2,,2,
64,41991,859,Dark-capped Bulbul,,1,1,
64,41991,859,Brown-crowned Tchagra,,1,1,
64,41991,859,Red-chested Cuckoo,,1,1,
64,41991,859,Purple-crested Turaco,,1,1,
64,41991,859,White-browed Scrub Robin,,1,1,
64,41991,859,Emerald-spotted Wood Dove,,2,2,
65,41991,917,White-bellied Sunbird,1,,1,
65,41991,917,Scarlet-chested Sunbird,1,,1,
65,41991,917,Sombre Greenbul,1,,1,
65,41991,917,Eastern Nicator,1,,1,
65,41991,917,Dark-capped Bulbul,,2,2,
66,41991,932,Green-backed Camaroptera,1,,1,
66,41991,932,Rattling Cisticola,1,,1,
66,41991,932,Black-headed Oriole,1,,1,
66,41991,932,Scarlet-chested Sunbird,1,,1,
66,41991,932,Tawny-flanked Prinia,2,,2,
66,41991,932,White-bellied Sunbird,2,,2,
66,41991,932,Dark-capped Bulbul,3,,3,
66,41991,932,Emerald-spotted Wood Dove,3,,3,
66,41991,932,Red-chested Cuckoo,,1,1,
66,41991,932,Gorgeous Bushshrike,,1,1,
66,41991,932,Fork-tailed Drongo,,2,2,
67,41991,949,Dark-capped Bulbul,1,,1,
67,41991,949,White-bellied Sunbird,1,,1,
67,41991,949,Marico Sunbird,1,,1,
67,41991,949,Chinspot Batis,1,,1,
67,41991,949,Rattling Cisticola,1,,1,
67,41991,949,Black-headed Oriole,1,,1,
67,41991,949,African Paradise Flycatcher,1,,1,
67,41991,949,Bateleur,1,,1,
67,41991,949,Emerald-spotted Wood Dove,2,,2,
67,41991,949,Black-backed Puffback,,1,1,
68,41991,843,Dark-capped Bulbul,1,,1,
68,41991,843,White-bellied Sunbird,1,,1,
68,41991,843,Green-backed Camaroptera,1,,1,
68,41991,843,Black-collared Barbet,2,,2,
68,41991,843,Black-headed Oriole,,1,1,
68,41991,843,Red-faced Mousebird,,1,1,
68,41991,843,Tawny-flanked Prinia,,1,1,
68,41991,843,Chinspot Batis,,1,1,
68,41991,843,Eastern Nicator,,2,2,
68,41991,843,Emerald-spotted Wood Dove,,2,2,
69,41991,802,White-bellied Sunbird,1,,1,
69,41991,802,Cardinal Woodpecker,1,,1,
69,41991,802,Eastern Nicator,1,,1,
69,41991,802,Fork-tailed Drongo,1,,1,
69,41991,802,Yellow-fronted Canary,1,,1,
69,41991,802,African Paradise Flycatcher,2,,2,
69,41991,802,Common Scimitarbill,2,,2,
69,41991,802,Dark-capped Bulbul,3,,3,
69,41991,802,Tambourine Dove,,1,1,
69,41991,802,Kurrichane Thrush,,1,1,
69,41991,802,Green-backed Camaroptera,,1,1,
70,41991,821,White-bellied Sunbird,1,,1,
70,41991,821,Green-backed Camaroptera,1,,1,
70,41991,821,African Paradise Flycatcher,1,,1,
70,41991,821,Violet-backed Starling,1,,1,
70,41991,821,Yellow-breasted Apalis,1,,1,
70,41991,821,White-browed Scrub Robin,1,,1,singing
70,41991,821,Common Scimitarbill,1,,1,
70,41991,821,Sombre Greenbul,1,,1,
70,41991,821,Black-backed Puffback,,1,1,
75,41996,445,Kurrichane Thrush,1,,1,
75,41996,445,Black-crowned Tchagra,1,,1,
75,41996,445,Chinspot Batis,1,,1,
75,41996,445,Rattling Cisticola,2,2,4,
75,41996,445,Dark-capped Bulbul,2,,2,
76,41996,459,Dark-capped Bulbul,1,,1,
76,41996,459,Black-crowned Tchagra,1,,1,
76,41996,459,Scarlet-chested Sunbird,2,,2,
76,41996,459,Rattling Cisticola,3,1,4,
76,41996,459,Arrow-marked Babbler,3,,3,
76,41996,459,Barn Swallow,24,,24,
76,41996,459,Chinspot Batis,,1,1,
77,41996,513,Barn Swallow,1,,1,
77,41996,513,Red-backed Shrike,1,,1,
77,41996,513,Long-tailed Paradise Whydah,1,,1,
77,41996,513,Fork-tailed Drongo,2,,2,
77,41996,513,Yellow-throated Petronia,2,,2,
77,41996,513,White-crested Helmetshrike,3,,3,
77,41996,513,Rattling Cisticola,3,,3,
77,41996,513,Burchell's Coucal,,1,1,
77,41996,513,Dark-capped Bulbul,,1,1,
78,41996,528,Chinspot Batis,2,,2,
78,41996,528,Blue Waxbill,2,,2,
78,41996,528,Dideric Cuckoo,2,,2,Food exchange between adults
78,41996,528,Red-backed Shrike,3,,3,
78,41996,528,Rattling Cisticola,4,,4,
78,41996,528,Fork-tailed Drongo,4,,4,
78,41996,528,Barn Swallow,10,,10,
78,41996,528,Dark-capped Bulbul,,2,2,
78,41996,528,Black-crowned Tchagra,,3,3,
79,41996,544,Barn Swallow,1,1,2,
79,41996,544,Blue Waxbill,2,,2,
79,41996,544,Yellow-billed Kite,2,,2,
79,41996,544,Rattling Cisticola,4,,4,
79,41996,544,Dark-capped Bulbul,,1,1,
79,41996,544,Grey-headed Bushshrike,,1,1,
79,41996,544,Red-faced Mousebird,,2,2,
80,41996,600,Golden-breasted Bunting,1,,1,
80,41996,600,Grey-headed Bushshrike,1,,1,
80,41996,600,Red-faced Mousebird,1,,1,
80,41996,600,Dark-capped Bulbul,2,,2,
80,41996,600,Blue Waxbill,3,,3,
80,41996,600,Rattling Cisticola,8,,8,
80,41996,600,Orange-breasted Bushshrike,,1,1,
80,41996,600,Cape Glossy Starling,,1,1,
80,41996,600,Chinspot Batis,,1,1,
80,41996,600,Black-bellied Bustard,,1,1,
80,41996,600,Long-billed Crombec,,2,2,
80,41996,600,Yellow-fronted Canary,,2,2,
81,41996,619,Yellow-throated Petronia,1,,1,
81,41996,619,Cape Glossy Starling,1,,1,
81,41996,619,Red-backed Shrike,1,,1,
81,41996,619,Emerald-spotted Wood Dove,1,,1,
81,41996,619,Chinspot Batis,1,,1,Food in bill
81,41996,619,Southern Black Tit,1,,1,
81,41996,619,Dideric Cuckoo,2,,2,
81,41996,619,Blue Waxbill,2,,2,
81,41996,619,Barn Swallow,4,2,6,
81,41996,619,Rattling Cisticola,4,,4,
81,41996,619,Black-crowned Tchagra,,1,1,
82,41996,637,Golden-breasted Bunting,1,,1,
82,41996,637,Lesser Striped Swallow,1,,1,
82,41996,637,Scarlet-chested Sunbird,1,,1,
82,41996,637,Purple-crested Turaco,1,,1,
82,41996,637,Long-billed Crombec,1,,1,
82,41996,637,Woodland Kingfisher,1,,1,
82,41996,637,Sombre Greenbul,2,,2,
82,41996,637,Blue Waxbill,2,,2,
82,41996,637,Rattling Cisticola,2,,2,
82,41996,637,Red-backed Shrike,2,,2,
82,41996,637,Barn Swallow,9,,9,
82,41996,637,Black-headed Oriole, ,1,#VALUE!,
82,41996,637,Crested Barbet,,1,1,
82,41996,637,Emerald-spotted Wood Dove,,1,1,
82,41996,637,Brown-crowned Tchagra,,2,2,
83,41996,659,Chinspot Batis,1,,1,
83,41996,659,Red-backed Shrike,1,,1,
83,41996,659,Cape Glossy Starling,1,,1,
83,41996,659,Red-breasted Swallow,1,,1,
83,41996,659,Blue Waxbill,1,,1,
83,41996,659,Eastern Nicator,1,,1,
83,41996,659,Black-headed Oriole,2,,2,
83,41996,659,Red-billed Oxpecker,2,,2,
83,41996,659,Rattling Cisticola,2,,2,
83,41996,659,Red-faced Mousebird,2,,2,
83,41996,659,Barn Swallow,3,,3,
83,41996,659,Emerald-spotted Wood Dove,,2,2,
83,41996,659,Dideric Cuckoo,,2,2,
84,41996,729,Purple-banded Sunbird,1,,1,
84,41996,729,White-bellied Sunbird,1,,1,
84,41996,729,Chinspot Batis,1,,1,
84,41996,729,Sombre Greenbul,1,,1,
84,41996,729,Cape Glossy Starling,1,,1,
84,41996,729,Barn Swallow,1,,1,
84,41996,729,Rattling Cisticola,3,,3,
